Rank,Dutch,Frequency,Context Sentence (Dutch),Word Type,English Translation,Defintion,Grading
19,er,1615173,Er is iemand aan de deur.,Adverb,there,Bijwoord dat een plaats of aanwezigheid aanduidt.,1
20,maar,1598672,Het is klein maar fijn.,Conjunction/Adverb,but/only,Voegwoord dat een tegenstelling aangeeft.,1
21,die,1434016,Die man loopt heel snel.,Pronoun,that/those,Aanwijzend voornaamwoord voor mensen of zaken.,1
22,heb,1429701,Ik heb een vraag voor je.,Verb,have,Vorm van het werkwoord hebben.,1
23,me,1411318,Kun je me even helpen?,Pronoun,me,Wederkerend voornaamwoord (mijzelf).,1
24,met,1395328,Ik ga met de trein.,Preposition,with,Voorzetsel dat gezelschap of middel aanduidt.,1
25,voor,1389735,Dit is voor jou.,Preposition,for,Voorzetsel dat een plaats aan de voorkant of tijd aanduidt.,1
26,als,1273513,Hij werkt als leraar.,Conjunction/Preposition,as/if,Voegwoord gebruikt bij vergelijkingen of voorwaarden.,1
27,ben,1144955,Ik ben moe.,Verb,am,Vorm van het werkwoord zijn (eerste persoon).,1
28,was,1031488,Ik was gisteren thuis.,Verb,was,Verleden tijd van het werkwoord zijn.,1
29,dit,1012898,Dit is mijn huis.,Pronoun,this,Aanwijzend voornaamwoord voor iets dichtbij.,1
30,mijn,961659,Dat is mijn fiets.,Pronoun,my,Bezittelijk voornaamwoord (eerste persoon).,1
31,om,950863,Ik vraag het om te leren.,Preposition/Conjunction,to/around/because of,Voorzetsel dat een reden of beweging rondom aanduidt.,1
32,aan,939521,Het schilderij hangt aan de muur.,Preposition,on/at/to,Voorzetsel dat contact of richting aanduidt.,1
33,jij,928107,Wat wil jij eten?,Pronoun,you (emphasis),Persoonlijk voornaamwoord (tweede persoon enkelvoud).,1
34,naar,908546,We gaan naar school.,Preposition,to,Voorzetsel dat een richting aanduidt.,1
35,dan,904663,Ik ben groter dan hij.,Conjunction/Adverb,than/then,Bijwoord gebruikt bij tijdsbepaling of vergelijking.,1
36,hier,892773,Kom hier naartoe.,Adverb,here,Op deze plaats.,1
37,weet,870605,Ik weet het antwoord.,Verb,know,Vorm van het werkwoord weten.,1
38,kan,827534,Ik kan goed zwemmen.,Verb,can,Vorm van het werkwoord kunnen.,1
39,geen,799250,Ik heb geen tijd.,Pronoun,no/none,"Nul, niet Ã©Ã©n.",1
40,nog,792339,Ben je nog wakker?,Adverb,still/yet,Bijwoord dat continuÃ¯teit aanduidt.,1
41,moet,762775,Ik moet nu gaan.,Verb,must/have to,Vorm van het werkwoord moeten.,1
42,wil,759522,Ik wil koffie.,Verb,want,Vorm van het werkwoord willen.,1
43,wel,758242,Dat is wel waar.,Adverb,indeed/well/however,Bijwoord dat een bevestiging of nadruk geeft.,1
44,ja,746431,Ja ik kom eraan.,Adverb,yes,Woord om een bevestigend antwoord te geven.,1
45,zo,746139,Het is zo groot!,Adverb,so/thus,Op die manier of zeer binnenkort.,1
46,heeft,735768,Zij heeft een kat.,Verb,has,Vorm van het werkwoord hebben (derde persoon).,1
47,hebben,732206,Wij hebben honger.,Verb,have,Het bezitten van iets.,1
48,hem,730248,Ik zie hem daar.,Pronoun,him,Persoonlijk voornaamwoord (mannelijk lijdend voorwerp).,1
49,goed,711659,Dat is een goed idee.,Adjective/Adverb,good/well,Op een juiste of prettige manier; niet slecht.,1
50,nee,663369,Nee bedankt.,Adverb,no,Woord om een ontkennend antwoord te geven.,1
51,waar,634748,Waar ben je?,Adverb/Adjective,where/true,Vraagwoord naar een plaats of synoniem voor echt.,1
52,nu,633525,Ik moet nu gaan.,Adverb,now,Op dit moment.,1
53,hoe,632454,Hoe werkt dit?,Adverb,how,Vraagwoord naar de manier waarop.,1
54,ga,579630,Ik ga slapen.,Verb,go,Vorm van het werkwoord gaan.,1
55,haar,573366,Ik zie haar.,Pronoun/Noun,her/hair,Bezittelijk voornaamwoord (vrouwelijk) of de begroeiing op het hoofd.,1
56,uit,562873,Hij komt uit Nederland.,Preposition,out/from,Voorzetsel dat een beweging naar buiten aanduidt.,1
57,doen,557710,Wat ga je doen?,Verb,do,Een handeling verrichten.,1
58,ook,555481,Ik wil dat ook.,Adverb,also/too,"Eveneens, daarnaast.",1
59,over,555424,We praten over werk.,Preposition,over/about,Voorzetsel dat een positie boven of een onderwerp aanduidt.,1
60,bent,551495,Jij bent laat.,Verb,are,Vorm van het werkwoord zijn (tweede persoon).,1
61,mij,549004,Geef dat aan mij.,Pronoun,me,Persoonlijk voornaamwoord (eerste persoon object).,1
62,gaan,545717,Wij gaan weg.,Verb,go,Zich verplaatsen naar een andere plek.,1
63,of,506118,Koffie of thee?,Conjunction,or/whether,Voegwoord dat een keuze tussen twee zaken aangeeft.,1
64,kom,502576,Ik kom eraan.,Verb,come,Vorm van het werkwoord komen.,1
65,zou,501036,Wat zou je doen?,Verb,would,Hulpwerkwoord voor de onvoltooid verleden toekomende tijd.,1
66,al,493269,Ik ben al klaar.,Adverb,already/all,"Reeds, of een aanduiding van een geheel.",1
67,bij,490366,Hij is bij mij.,Preposition,at/by/with,Voorzetsel dat nabijheid aanduidt.,1
68,daar,482796,Zet het daar neer.,Adverb,there,Op die plaats (verder weg).,1
69,ons,473851,Dit is ons huis.,Pronoun,us/our,Bezittelijk voornaamwoord (eerste persoon meervoud).,1
70,jullie,472767,Gaan jullie mee?,Pronoun,you (plural),Persoonlijk voornaamwoord (tweede persoon meervoud).,1
71,hebt,460950,Jij hebt gelijk.,Verb,have,Vorm van het werkwoord hebben (tweede persoon).,1
72,gaat,454817,Alles gaat goed.,Verb,goes,Vorm van het werkwoord gaan (derde persoon).,1
73,iets,442933,Wil je iets drinken?,Pronoun,something,Een onbepaald ding of een kleine hoeveelheid.,1
74,zal,441963,Ik zal je helpen.,Verb,shall/will,Hulpwerkwoord voor de toekomende tijd.,1
75,meer,430364,Ik wil meer water.,Adverb/Pronoun,more,Een grotere hoeveelheid of een plas water.,1
76,waarom,426031,Waarom doe je dat?,Adverb,why,Vraagwoord naar de reden of oorzaak.,1
77,had,404241,Ik had geen tijd.,Verb,had,Verleden tijd van hebben.,1
78,deze,401349,Deze appel is lekker.,Pronoun,these/this,Aanwijzend voornaamwoord voor iets dichtbij.,1
79,laat,396728,Het is erg laat.,Adjective/Verb,late/let,"Niet op tijd, of vorm van het werkwoord laten.",1
80,moeten,370913,Wij moeten gaan.,Verb,must,Verplicht zijn om iets te doen.,1
81,m'n,363630,Waar is m'n tas?,Pronoun,my,Betekenis volgt.,1
82,jou,362713,Ik zie jou.,Pronoun,you (object),Persoonlijk voornaamwoord (tweede persoon object).,1
83,doe,358703,Ik doe mijn best.,Verb,do,Vorm van het werkwoord doen.,1
84,wie,354534,Wie is daar?,Pronoun,who,Vraagwoord naar een persoon.,1
85,kunnen,352929,Wij kunnen dat.,Verb,can,In staat zijn tot iets.,1
86,alles,347190,Alles komt goed.,Pronoun,everything,"De gehele hoeveelheid, niets uitgezonderd.",1
87,denk,337537,Ik denk van wel.,Verb,think,Vorm van het werkwoord denken.,1
88,door,327117,Hij loopt door de deur.,Preposition,through/by,Voorzetsel dat een middel of opening aanduidt.,1
89,echt,319510,Is dat echt waar?,Adverb/Adjective,really/real,"Werkelijk, niet vals.",1
90,alleen,317745,Ik ben alleen thuis.,Adverb/Adjective,only/alone,Zonder gezelschap van anderen.,1
91,oké,314825,Oké ik doe het.,Adverb,okay,"Akkoord, het is goed.",#N/A
92,eens,314535,Ik ben het met je eens.,Adverb,once/agreed,Op een bepaald moment in het verleden of de toekomst.,1
93,dus,313730,Dus we gaan niet?,Adverb/Conjunction,so/thus,Voegwoord dat een conclusie inleidt.,1
94,weg,309088,Ik ga weg.,Adverb/Noun,away/road,"Niet meer aanwezig, of een route om over te rijden.",1
95,zien,304936,Ik wil je zien.,Verb,see,Waarnemen met de ogen.,1
96,toch,299795,Je komt toch wel?,Adverb,yet/still/surely,"Ondanks dat, of ter bevestiging.",1
97,man,293750,De man loopt daar.,Noun,man,Volwassen mannelijk persoon.,1
98,nooit,278492,Ik doe dat nooit.,Adverb,never,Op geen enkel moment.,1
99,terug,276017,Kom snel terug.,Adverb,back,Naar de plek van herkomst.,1
100,laten,271958,Laten we gaan.,Verb,let/leave,Toestaan of niet veranderen.,1
101,nou,268379,Nou en?,Adverb,well/now,Nu (vaak met een emotionele lading).,1
102,mee,267390,Ga je mee?,Adverb,along/with,Samen met anderen of iets.,1
103,misschien,256638,Misschien komt hij.,Adverb,maybe,"Mogelijk, maar niet zeker.",1
104,even,256366,Wacht even.,Adverb,a moment/just,Gedurende een korte tijd.,1
105,iemand,255563,Is er iemand?,Pronoun,someone,Een onbekend persoon.,1
106,komt,254604,Hij komt eraan.,Verb,comes,Vorm van het werkwoord komen.,1
107,niets,254174,Ik weet niets.,Pronoun,nothing,Helemaal geen ding.,1
108,zei,250107,Hij zei dat.,Verb,said,Verleden tijd van zeggen.,1
109,hou,236668,Ik hou van jou.,Verb,hold/love,Vorm van het werkwoord houden.,1
110,komen,229453,Ze komen morgen.,Verb,come,Zich naar de spreker toe bewegen.,1
111,mensen,229103,Er zijn veel mensen.,Noun,people,Personen in het algemeen.,1
112,onze,226560,Dit is onze auto.,Pronoun,our,Bezittelijk voornaamwoord (eerste persoon meervoud).,1
113,nodig,225962,Ik heb hulp nodig.,Adjective,needed/necessary,Iets dat vereist is.,1
114,tot,221382,Tot ziens!,Preposition,until/to,Voorzetsel dat een grens in tijd of plaats aangeeft.,1
115,worden,219867,Hij wil arts worden.,Verb,become/be,Zich ontwikkelen tot iets.,1
116,veel,219860,Ik heb veel tijd.,Adjective/Adverb,much/many,In grote hoeveelheid.,1
117,weten,219188,Wij weten dat.,Verb,know,Kennis hebben van iets.,1
118,leven,218884,Het leven is mooi.,Noun/Verb,life/live,"Niet dood zijn, of het bestaan op zich.",1
119,wij,216722,Wij zijn klaar.,Pronoun,we (emphasis),Persoonlijk voornaamwoord (eerste persoon meervoud).,1
120,weer,215029,Het is weer koud.,Adverb/Noun,again/weather,"Opnieuw, of de toestand van de atmosfeer.",1
121,gewoon,213834,Doe gewoon normaal.,Adverb/Adjective,just/normal,"Normaal, gebruikelijk.",1
122,kijk,213616,Kijk daar!,Verb,look,Vorm van het werkwoord kijken.,1
123,zeggen,213356,Wat wil je zeggen?,Verb,say,Mondeling mededelen.,1
124,tijd,212764,Ik heb geen tijd.,Noun,time,Betekenis volgt.,1
125,zeg,210814,Zeg het maar.,Verb,say,Vorm van het werkwoord zeggen.,1
126,twee,208298,Ik heb twee honden.,Numeral,two,Het getal na Ã©Ã©n.,1
127,toen,208044,Toen was ik jong.,Adverb/Conjunction,then/when,Op dat moment in het verleden.,1
128,tegen,207613,Hij praat tegen mij.,Preposition,against/to,In de richting van of in strijd met.,1
129,zit,205110,Hij zit op de stoel.,Verb,sits,Vorm van het werkwoord zitten.,1
130,net,203060,Ik ben net wakker.,Adverb,just/exactly,"Precies, of een voorwerp van draden om iets te vangen.",1
131,dood,200313,De plant is dood.,Adjective/Noun,dead/death,Het einde van het leven.,1
132,uw,198061,Wat is uw naam?,Pronoun,your (formal),Bezittelijk voornaamwoord (beleefdheidsvorm).,1
133,wordt,195977,Het wordt donker.,Verb,becomes,Vorm van het werkwoord worden.,1
134,hé,195920,Hé let op!,Interjection,hey,Uitroep om de aandacht te trekken.,#N/A
135,maken,192444,We maken een taart.,Verb,make,Iets creÃ«ren of herstellen.,1
136,mag,189195,Mag ik binnenkomen?,Verb,may/allowed,Vorm van het werkwoord mogen (toestemming).,1
137,één,188447,Ik wil er één.,Numeral,one,#N/A,#N/A
138,z'n,187701,Hij zoekt z'n jas.,Pronoun,his,Betekenis volgt.,1
139,omdat,184722,Ik lach omdat ik blij ben.,Conjunction,because,Voegwoord dat een reden aangeeft.,1
140,gedaan,183529,Goed gedaan!,Verb,done,Voltooid deelwoord van doen.,1
141,heel,182156,Dat is heel mooi.,Adverb/Adjective,very/whole,"Niet kapot, of in grote mate.",1
142,af,181253,Het werk is af.,Adjective/Adverb,finished/off,BeÃ«indigd of klaar.,1
143,altijd,179551,Hij is altijd op tijd.,Adverb,always,Op elk moment.,1
144,jouw,174623,Is dat jouw boek?,Pronoun,your,Bezittelijk voornaamwoord (tweede persoon).,1
145,zeker,172890,Weet je het zeker?,Adjective/Adverb,certain/sure,Zonder twijfel.,1
146,geef,172570,Geef me dat.,Verb,give,Vorm van het werkwoord geven.,1
147,zie,170848,Ik zie je morgen.,Verb,see,Vorm van het werkwoord zien.,1
148,wacht,170736,Wacht hier op mij.,Verb,wait,Vorm van het werkwoord wachten.,1
149,allemaal,165588,We gaan allemaal.,Pronoun,all/everybody,Iedereen of alles bij elkaar.,1
150,jaar,164433,Gelukkig nieuw jaar.,Noun,year,Periode van 365 dagen.,1
151,doet,164337,Hij doet zijn best.,Verb,does,Derde persoon enkelvoud van doen; een handeling verrichten.,1
152,dag,162898,Een fijne dag nog.,Noun,day,De periode van 24 uur of wanneer het licht is.,1
153,zij,161349,Zij is hier.,Pronoun,she/they,Persoonlijk voornaamwoord voor een vrouw of meerdere personen.,1
154,hun,159382,Dat is hun huis.,Pronoun,their,Bezittelijk voornaamwoord behorend bij 'hen'.,1
155,huis,158155,Ik ga naar huis.,Noun,house/home,Een gebouw waarin mensen wonen.,1
156,vader,156071,Mijn vader werkt hier.,Noun,father,Een mannelijke ouder.,1
157,dank,155212,Dank je wel.,Noun/Verb,thanks,Woord om erkentelijkheid uit te drukken.,1
158,dacht,153597,Ik dacht dat ook.,Verb,thought,Verleden tijd van denken; een mening of idee vormen.,1
159,kunt,152626,Je kunt het proberen.,Verb,can,In staat zijn om iets te doen (tweede persoon).,1
160,zoals,152422,Mensen zoals wij.,Conjunction/Preposition,like/such as,Op dezelfde manier als; bijvoorbeeld.,1
161,vrouw,151285,De vrouw loopt daar.,Noun,woman/wife,Een volwassen vrouwelijk mens.,1
162,keer,150854,Nog één keer.,Noun,time (occasion),Een bepaald moment of een herhaling van een gebeurtenis.,1
163,anders,146609,Dat is anders.,Adjective/Adverb,different/otherwise,Op een andere manier; of in het andere geval.,1
164,andere,146177,Ik wil de andere.,Adjective,other,Niet dezelfde; verschillend van wat eerder genoemd is.,1
165,willen,145447,Wij willen eten.,Verb,want,De wens of het verlangen hebben naar iets.,1
166,erg,144618,Dat is erg leuk.,Adverb/Adjective,very/terrible,In grote mate; of iets wat heel vervelend is.,1
167,spijt,141916,Het spijt me.,Noun,regret,Het gevoel dat je iets liever niet had gedaan.,1
168,bedankt,141652,Bedankt voor alles.,Interjection,thanks,Woord om iemand te bedanken voor iets.,1
169,niemand,140961,Er is niemand.,Pronoun,nobody,Geen enkel mens.,1
170,wilt,140826,Als je dat wilt.,Verb,want,Het verlangen hebben om iets te doen (tweede persoon).,1
171,geld,140214,Dat kost veel geld.,Noun,money,Munten of bankbiljetten om mee te betalen.,1
172,zitten,140083,We zitten hier.,Verb,sit,Zich op de billen bevinden op een stoel of bank.,1
173,niks,139985,Ik weet er niks van.,Pronoun,nothing,Helemaal niets.,1
174,iedereen,138954,Iedereen is welkom.,Pronoun,everyone,Elk mens; alle personen in een groep.,1
175,binnen,138320,Kom snel binnen.,Adverb/Preposition,inside/within,In een gebouw of een afgesloten ruimte.,1
176,staat,135644,De auto staat daar.,Verb,stands/is,Zich rechtop op de voeten bevinden; of de conditie van iets.,1
177,wilde,134996,Ik wilde dat niet.,Verb,wanted,Verleden tijd van willen; iets graag hebben.,1
178,zich,134601,Hij wast zich.,Pronoun,himself/herself/itself,Wederkerend voornaamwoord voor de derde persoon.,1
179,beter,134537,Dit is veel beter.,Adjective/Adverb,better,Goeder dan voorheen; hersteld van ziekte.,1
180,werk,134446,Ik heb veel werk.,Noun/Verb,work,Activiteit of baan om geld te verdienen.,1
181,praten,132705,We moeten praten.,Verb,talk,Woorden gebruiken om te communiceren.,1
182,gezien,131006,Heb je dat gezien?,Verb,seen,Waargenomen met de ogen (voltooid deelwoord).,1
183,zullen,130862,We zullen zien.,Verb,shall/will,Hulpwerkwoord voor de toekomende tijd of een belofte.,1
184,waren,129549,Wij waren daar.,Verb,were,Verleden tijd meervoud van zijn.,1
185,god,128800,Mijn god!,Noun,god,Een opperwezen in een religie.,1
186,maak,128702,Ik maak het eten.,Verb,make,Iets creëren of produceren (eerste persoon).,1
187,neem,128506,Neem je tijd.,Verb,take,Iets vastpakken of accepteren (gebiedende wijs).,1
188,vinden,127950,Dat kan ik niet vinden.,Verb,find/think,Iets ontdekken dat je zocht of nodig had.,1
189,vind,127521,Ik vind het mooi.,Verb,find/think,Iets ontdekken of een mening over iets hebben.,1
190,moeder,124814,Mijn moeder is lief.,Noun,mother,Een vrouwelijke ouder.,1
191,kon,123381,Ik kon het niet doen.,Verb,could,Verleden tijd van kunnen; in staat zijn tot.,1
192,uur,122231,Het duurt een uur.,Noun,hour,Een periode van zestig minuten.,1
193,klaar,122212,Ik ben klaar.,Adjective,ready/finished,Gereed; wanneer een taak voltooid is.,1
194,genoeg,120215,Dat is genoeg.,Adverb/Adjective,enough,Voldoende; niet meer nodig.,1
195,helpen,119301,Kan ik je helpen?,Verb,help,Iemand ondersteunen of bijstaan bij een taak.,1
196,oh,119077,Oh ik snap het.,Interjection,oh,"Uitroep van verbazing, schrik of begrip.",1
197,hele,118678,De hele dag.,Adjective,whole/entire,Volledig; zonder dat er iets ontbreekt.,1
198,drie,117145,Ik heb drie boeken.,Numeral,three,Het getal na twee.,1
199,vast,116765,Het zit vast.,Adverb/Adjective,stuck/certainly,Stevig bevestigd; of bijna zeker.,1
200,na,116659,Na de les gaan we.,Preposition,after,Op een later tijdstip dan.,1
201,hallo,116482,Hallo allemaal.,Interjection,hello,Een begroeting wanneer je iemand ziet of spreekt.,1
202,leuk,116343,Dat is een leuk idee.,Adjective,nice/fun,"Iets wat plezierig, grappig of aangenaam is.",1
203,sorry,116048,Sorry daarvoor.,Interjection,sorry,Woord dat je gebruikt om spijt te betuigen of excuses aan te bieden.,1
204,alle,114830,Alle mensen hier.,Pronoun/Adjective,all,De gehele hoeveelheid; iedereen of alles zonder uitzondering.,1
205,elkaar,114709,We zien elkaar morgen.,Pronoun,each other,De een en de ander; wederzijds.,1
206,zoon,114466,Dat is mijn zoon.,Noun,son,Een mannelijk kind van ouders.,1
207,wist,114289,Ik wist het niet.,Verb,knew,Verleden tijd van weten; kennis hebben van iets.,1
208,zegt,112794,Hij zegt ja.,Verb,says,Woorden uitspreken (derde persoon enkelvoud).,1
209,bedoel,111995,Wat bedoel je?,Verb,mean,Iets willen zeggen of ergens op doelen.,1
210,blijf,111068,Blijf hier wachten.,Verb,stay,Op dezelfde plek of in dezelfde toestand blijven (gebiedende wijs).,1
211,alsjeblieft,110808,Hier is het alsjeblieft.,Interjection,please/here you go,Beleefdheidsvorm bij een verzoek of het geven van iets.,2
212,lang,109815,Het duurt erg lang.,Adverb/Adjective,long,Met een grote afmeting in de lengte of tijd.,1
213,meneer,109602,Dag meneer.,Noun,sir/mister,Een beleefde aanspreekvorm voor een man.,1
214,ziet,109385,Hij ziet mij niet.,Verb,sees,Waarnemen met de ogen (derde persoon enkelvoud).,1
215,maakt,109255,Dat maakt niet uit.,Verb,makes,"Iets creëren, fabriceren of veroorzaken.",1
216,luister,108225,Luister naar mij.,Verb,listen,Met aandacht horen wat er gezegd wordt.,1
217,dingen,107800,Ik zie veel dingen.,Noun,things,Onbepaalde voorwerpen of zaken (meervoud).,1
218,mooi,106513,Wat een mooi huis.,Adjective/Adverb,beautiful,Wat prettig is om naar te kijken; fraai of knap.,1
219,soort,106486,Wat voor soort is dat?,Noun,kind/type,Een groep met dezelfde kenmerken.,1
220,eerste,105501,Hij is de eerste.,Adjective,first,Dat wat voor alle anderen komt in een reeks.,1
221,graag,105501,Ik wil dat graag.,Adverb,gladly/please,Met veel plezier; iets wat je graag wilt.,1
222,natuurlijk,105268,Dat is natuurlijk zo.,Adverb/Adjective,of course/natural,Vanzelfsprekend; of met betrekking tot de natuur.,2
223,houden,103838,We houden van jou.,Verb,hold/keep/love,Iets in je bezit bewaren of van iemand houden.,1
224,zonder,103634,Koffie zonder melk.,Preposition,without,Niet in het bezit van; de afwezigheid van iets.,1
225,steeds,103491,Hij is er nog steeds.,Adverb,still/always,Elke keer weer; voortdurend.,1
226,krijgen,102922,Wat krijgen we nu?,Verb,get/receive,Iets ontvangen van iemand anders.,1
227,grote,102284,Een grote boom.,Adjective,big/large,Van aanzienlijke omvang (verbogen vorm).,1
228,achter,102224,Kijk achter je.,Preposition,behind,Aan de rugzijde van iets of iemand.,1
229,helemaal,101859,Ik ben het er helemaal mee eens.,Adverb,completely/totally,Volledig; totaal; in alle opzichten.,1
230,naam,100664,Wat is jouw naam?,Noun,name,Het woord waarmee een persoon of zaak wordt aangeduid.,1
231,gek,100386,Doe niet zo gek.,Adjective,crazy,Iemand die niet verstandig of raar doet; krankzinnig.,1
232,blijven,100084,We blijven hier.,Verb,stay,Niet weggaan; in dezelfde toestand voortduren.,1
233,onder,99913,Het boek ligt onder de tafel.,Preposition,under/below,Op een lagere plaats dan iets anders.,1
234,vriend,99666,Hij is een goede vriend.,Noun,friend,Een persoon met wie je een goede band hebt.,1
235,geweest,98850,Ik ben daar geweest.,Verb,been,Voltooid deelwoord van zijn; op een plek zijn geweest.,1
236,kijken,98710,We gaan een film kijken.,Verb,look/watch,De ogen op iets richten om het te zien.,1
237,geven,98686,Ik zal het je geven.,Verb,give,Iets aan een ander overhandigen.,1
238,ging,98129,Hij ging gisteren weg.,Verb,went,Verleden tijd van gaan; zich verplaatsen.,1
239,vertellen,97831,Kan je me dat vertellen?,Verb,tell,Een verhaal of informatie mondeling mededelen.,1
240,ooit,95370,Heb je dat ooit gedaan?,Adverb,ever,Op een onbepaald moment in de tijd.,1
241,snel,94773,We moeten snel gaan.,Adverb/Adjective,fast/quick,Met een hoge snelheid; in weinig tijd.,1
242,hand,94597,Geef me je hand.,Noun,hand,Het lichaamsdeel aan het einde van de arm.,1
243,idee,94437,Dat is een goed idee.,Noun,idea,"Een gedachte, plan of opvatting.",1
244,goeie,23729,Een goeie morgen.,Adjective,good (colloquial),Informele vorm van goede; van goede kwaliteit.,2
245,gisteren,23708,Gisteren was het warm.,Adverb,yesterday,De dag vóór vandaag.,2
246,aarde,23690,Planeet aarde.,Noun,earth,De planeet waarop wij leven; of de grond.,2
247,contact,23680,We houden contact.,Noun,contact,Verbinding of communicatie met iemand.,2
248,zus,23673,Zij is mijn zus.,Noun,sister,Een vrouwelijk gezinslid met dezelfde ouders.,1
249,erbij,23655,Ik ben erbij.,Adverb,there/with it,Aanwezig bij een bepaalde groep of zaak.,2
250,beschermen,23651,We moeten het beschermen.,Verb,protect,Ervoor zorgen dat iets of iemand veilig blijft.,3
251,gevangenis,23604,Hij zit in de gevangenis.,Noun,prison/jail,Gebouw waar mensen vastgehouden worden als straf.,3
252,persoon,23532,Dat is een aardig persoon.,Noun,person,Een menselijk individu.,2
253,winnen,23527,We gaan de wedstrijd winnen.,Verb,win,De beste zijn in een spel of wedstrijd.,2
254,kracht,23416,Hij heeft veel kracht.,Noun,power/strength,Het vermogen om iets te doen of te verplaatsen.,2
255,ziek,23388,Ik voel me erg ziek.,Adjective,sick/ill,Niet gezond; last hebben van een aandoening.,1
256,omhoog,23384,Kijk omhoog naar de lucht.,Adverb,up/upwards,Naar een hogere plaats of positie.,2
257,beloof,23372,Ik beloof dat ik kom.,Verb,promise,Toezeggen dat je iets zeker zult doen.,2
258,gebruik,23324,Ik gebruik dit elke dag.,Verb/Noun,use,Het aanwenden van een middel of voorwerp.,2
259,hoezo,23305,Hoezo doe je dat?,Adverb,how so/why,Vraag naar de reden; waarom?,2
260,degene,23190,Jij bent degene die ik zoek.,Pronoun,the one,De persoon die (verwijst naar iemand).,2
261,trek,23142,Ik heb trek in een appel.,Noun/Verb,appetite/pull,Iets naar je toe halen; of zin hebben in eten.,1
262,meen,23131,Ik meen het echt.,Verb,mean (serious),Iets echt menen; niet voor de grap zeggen.,1
263,enkele,23120,Er zijn enkele problemen.,Pronoun/Adjective,some/a few,Een klein aantal; een paar.,2
264,getrouwd,23101,Zij zijn gisteren getrouwd.,Verb/Adjective,married,Verbonden door een huwelijk.,2
265,gevraagd,23036,Ik heb het hem gevraagd.,Verb,asked,Verzocht om informatie of hulp (voltooid deelwoord).,2
266,New York,22992,We gaan naar New York.,Noun,New York,Een grote bekende stad in de Verenigde Staten.,#N/A
267,verdomde,22976,Zet die verdomde tv uit.,Adjective,damned,Krachtterm voor iets dat zeer vervelend is.,2
268,hierheen,22953,Kom direct hierheen.,Adverb,here/this way,Naar deze plek toe.,2
269,punt,22940,Dat is een goed punt.,Noun,point,Een klein rondje als leesteken; of een specifiek onderwerp.,1
270,toekomst,22866,De toekomst is onzeker.,Noun,future,De tijd die nog moet komen.,2
271,probeerde,22816,Ik probeerde je te bellen.,Verb,tried,Verleden tijd van proberen; pogen.,2
272,half,22653,Geef me een half glas.,Adjective/Adverb,half,De helft van een geheel (50%).,1
273,leger,22633,Hij zit in het leger.,Noun,army,Een grote groep soldaten die een land verdedigen.,2
274,waard,22558,Dat is veel geld waard.,Adjective,worth,De waarde die iets heeft in geld of belang.,2
275,opnieuw,22556,Laten we opnieuw beginnen.,Adverb,again/anew,Nog een keer; weer vanaf het begin.,2
276,val,22549,Pas op voor de val.,Noun/Verb,trap/fall,Een beweging omlaag zonder controle.,1
277,vuur,22539,Het vuur is heet.,Noun,fire,Hitte en licht geproduceerd door verbranding.,1
278,bewijs,22485,Heb je daar bewijs voor?,Noun,proof/evidence,Feiten die aantonen dat iets waar is.,2
