Question,Country,Filters,Responses,Result
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Women,No savings ,24.51253482
"Without income, length of time household could maintain the same standard of living using savings",Poland,Women,No savings ,31.94748359
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Women,No savings ,25.51020408
"Without income, length of time household could maintain the same standard of living using savings",Romania,Women,No savings ,28.0141844
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Women,No savings ,25.82677165
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Women,No savings ,32.74074074
"Without income, length of time household could maintain the same standard of living using savings",Spain,Women,No savings ,19.82758621
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Women,No savings ,30.52516411
"Without income, length of time household could maintain the same standard of living using savings",Austria,Women - 35 – 54,No savings ,18.00947867
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Women - 35 – 54,No savings ,22.55892256
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Women - 35 – 54,No savings ,33.80681818
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Women - 35 – 54,No savings ,51.28205128
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Women - 35 – 54,No savings ,38.18181818
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Women - 35 – 54,No savings ,30.56994819
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Women - 35 – 54,No savings ,34.89932886
"Without income, length of time household could maintain the same standard of living using savings",European Union,Women - 35 – 54,No savings ,35.20740487
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Women - 35 – 54,No savings ,52
"Without income, length of time household could maintain the same standard of living using savings",Finland,Women - 35 – 54,No savings ,47.42096506
"Without income, length of time household could maintain the same standard of living using savings",France,Women - 35 – 54,No savings ,24.69135802
"Without income, length of time household could maintain the same standard of living using savings",Germany,Women - 35 – 54,No savings ,16.5577342
"Without income, length of time household could maintain the same standard of living using savings",Greece,Women - 35 – 54,No savings ,38.35125448
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Women - 35 – 54,No savings ,38.08290155
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Women - 35 – 54,No savings ,23.47107438
"Without income, length of time household could maintain the same standard of living using savings",Italy,Women - 35 – 54,No savings ,19.40298507
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Women - 35 – 54,No savings ,52.06422018
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Women - 35 – 54,No savings ,38.87147335
"Without income, length of time household could maintain the same standard of living using savings",Luxembourg,Women - 35 – 54,No savings ,16.04938272
"Without income, length of time household could maintain the same standard of living using savings",Malta,Women - 35 – 54,No savings ,21.55172414
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Women - 35 – 54,No savings ,30.70866142
"Without income, length of time household could maintain the same standard of living using savings",Poland,Women - 35 – 54,No savings ,33.33333333
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Women - 35 – 54,No savings ,26.78571429
"Without income, length of time household could maintain the same standard of living using savings",Romania,Women - 35 – 54,No savings ,27.72727273
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Women - 35 – 54,No savings ,27.88104089
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Women - 35 – 54,No savings ,36.55589124
"Without income, length of time household could maintain the same standard of living using savings",Spain,Women - 35 – 54,No savings ,23.95833333
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Women - 35 – 54,No savings ,38.77005348
"Without income, length of time household could maintain the same standard of living using savings",Austria,Women - 55 and over,No savings ,19.62616822
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Women - 55 and over,No savings ,23.02158273
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Women - 55 and over,No savings ,27.47603834
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Women - 55 and over,No savings ,42.1875
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Women - 55 and over,No savings ,35.23809524
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Women - 55 and over,No savings ,21.18644068
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Women - 55 and over,No savings ,23.69942197
"Without income, length of time household could maintain the same standard of living using savings",European Union,Women - 55 and over,No savings ,28.88986014
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Women - 55 and over,No savings ,35.75757576
"Without income, length of time household could maintain the same standard of living using savings",Finland,Women - 55 and over,No savings ,42.40506329
"Without income, length of time household could maintain the same standard of living using savings",France,Women - 55 and over,No savings ,26.35658915
"Without income, length of time household could maintain the same standard of living using savings",Germany,Women - 55 and over,No savings ,20.77922078
"Without income, length of time household could maintain the same standard of living using savings",Greece,Women - 55 and over,No savings ,43.99293286
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Women - 55 and over,No savings ,32.13429257
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Women - 55 and over,No savings ,14.26553672
"Without income, length of time household could maintain the same standard of living using savings",Italy,Women - 55 and over,No savings ,23.07692308
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Women - 55 and over,No savings ,41.21212121
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Women - 55 and over,No savings ,29.52380952
"Without income, length of time household could maintain the same standard of living using savings",Luxembourg,Women - 55 and over,No savings ,13.15789474
"Without income, length of time household could maintain the same standard of living using savings",Malta,Women - 55 and over,No savings ,10.78431373
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Women - 55 and over,No savings ,23.07692308
"Without income, length of time household could maintain the same standard of living using savings",Poland,Women - 55 and over,No savings ,33.91812865
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Women - 55 and over,No savings ,24.56140351
"Without income, length of time household could maintain the same standard of living using savings",Romania,Women - 55 and over,No savings ,28.17869416
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Women - 55 and over,No savings ,24.21383648
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Women - 55 and over,No savings ,28.62318841
"Without income, length of time household could maintain the same standard of living using savings",Spain,Women - 55 and over,No savings ,17.62295082
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Women - 55 and over,No savings ,24.37923251
"Without income, length of time household could maintain the same standard of living using savings",Austria,Age - 55 and over,No savings ,18.71657754
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Age - 55 and over,No savings ,21.55339806
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Age - 55 and over,No savings ,23.20328542
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Age - 55 and over,No savings ,40.52631579
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Age - 55 and over,No savings ,25.22522523
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Age - 55 and over,No savings ,16.24365482
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Age - 55 and over,No savings ,19.13875598
"Without income, length of time household could maintain the same standard of living using savings",European Union,Age - 55 and over,No savings ,25.5513308
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Age - 55 and over,No savings ,35.55555556
"Without income, length of time household could maintain the same standard of living using savings",Finland,Age - 55 and over,No savings ,37.2118551
"Without income, length of time household could maintain the same standard of living using savings",France,Age - 55 and over,No savings ,22.35294118
"Without income, length of time household could maintain the same standard of living using savings",Germany,Age - 55 and over,No savings ,19.48051948
"Without income, length of time household could maintain the same standard of living using savings",Greece,Age - 55 and over,No savings ,35.96707819
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Age - 55 and over,No savings ,29.69543147
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Age - 55 and over,No savings ,13.35227273
"Without income, length of time household could maintain the same standard of living using savings",Italy,Age - 55 and over,No savings ,18.51179673
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Age - 55 and over,No savings ,41.0022779
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Age - 55 and over,No savings ,28.30188679
"Without income, length of time household could maintain the same standard of living using savings",Luxembourg,Age - 55 and over,No savings ,11.53846154
"Without income, length of time household could maintain the same standard of living using savings",Malta,Age - 55 and over,No savings ,9.259259259
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Age - 55 and over,No savings ,20
"Without income, length of time household could maintain the same standard of living using savings",Poland,Age - 55 and over,No savings ,29.55465587
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Age - 55 and over,No savings ,21.76360225
"Without income, length of time household could maintain the same standard of living using savings",Romania,Age - 55 and over,No savings ,23.77210216
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Age - 55 and over,No savings ,21.59827214
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Age - 55 and over,No savings ,27.71084337
"Without income, length of time household could maintain the same standard of living using savings",Spain,Age - 55 and over,No savings ,14.53744493
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Age - 55 and over,No savings ,21.29221733
"Without income, length of time household could maintain the same standard of living using savings",Austria,Age - 35 – 54,No savings ,17.93103448
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Age - 35 – 54,No savings ,25.52693208
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Age - 35 – 54,No savings ,30.01876173
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Age - 35 – 54,No savings ,50
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Age - 35 – 54,No savings ,35.97122302
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Age - 35 – 54,No savings ,28.30188679
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Age - 35 – 54,No savings ,31.74603175
"Without income, length of time household could maintain the same standard of living using savings",European Union,Age - 35 – 54,No savings ,32.87629025
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Age - 35 – 54,No savings ,50.65088757
"Without income, length of time household could maintain the same standard of living using savings",Finland,Age - 35 – 54,No savings ,45.93939394
"Without income, length of time household could maintain the same standard of living using savings",France,Age - 35 – 54,No savings ,22.58064516
"Without income, length of time household could maintain the same standard of living using savings",Germany,Age - 35 – 54,No savings ,16.03630862
"Without income, length of time household could maintain the same standard of living using savings",Greece,Age - 35 – 54,No savings ,34.79789104
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Age - 35 – 54,No savings ,34.31542461
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Age - 35 – 54,No savings ,22.36180905
"Without income, length of time household could maintain the same standard of living using savings",Italy,Age - 35 – 54,No savings ,16.98630137
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Age - 35 – 54,No savings ,48.96551724
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Age - 35 – 54,No savings ,37.05357143
"Without income, length of time household could maintain the same standard of living using savings",Luxembourg,Age - 35 – 54,No savings ,16.10169492
"Without income, length of time household could maintain the same standard of living using savings",Malta,Age - 35 – 54,No savings ,21.42857143
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Age - 35 – 54,No savings ,26.76056338
"Without income, length of time household could maintain the same standard of living using savings",Poland,Age - 35 – 54,No savings ,30.67092652
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Age - 35 – 54,No savings ,27.05667276
"Without income, length of time household could maintain the same standard of living using savings",Romania,Age - 35 – 54,No savings ,24.79564033
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Age - 35 – 54,No savings ,26.45631068
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Age - 35 – 54,No savings ,34.22131148
"Without income, length of time household could maintain the same standard of living using savings",Spain,Age - 35 – 54,No savings ,20.18348624
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Age - 35 – 54,No savings ,37.5711575
"Without income, length of time household could maintain the same standard of living using savings",Austria,All,No savings ,16.66666667
"Without income, length of time household could maintain the same standard of living using savings",Belgium,All,No savings ,22.49034749
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,All,No savings ,26.09776305
"Without income, length of time household could maintain the same standard of living using savings",Croatia,All,No savings ,44.55958549
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,All,No savings ,32.83378747
"Without income, length of time household could maintain the same standard of living using savings",Czechia,All,No savings ,20.81447964
"Without income, length of time household could maintain the same standard of living using savings",Denmark,All,No savings ,23.51716961
"Without income, length of time household could maintain the same standard of living using savings",European Union,All,No savings ,28.5866615
"Without income, length of time household could maintain the same standard of living using savings",Estonia,All,No savings ,43.46590909
"Without income, length of time household could maintain the same standard of living using savings",Finland,All,No savings ,42.25941423
"Without income, length of time household could maintain the same standard of living using savings",France,All,No savings ,21.30492676
"Without income, length of time household could maintain the same standard of living using savings",Germany,All,No savings ,16.90140845
"Without income, length of time household could maintain the same standard of living using savings",Greece,All,No savings ,35.1822504
"Without income, length of time household could maintain the same standard of living using savings",Hungary,All,No savings ,30.68421053
"Without income, length of time household could maintain the same standard of living using savings",Ireland,All,No savings ,17.20484359
"Without income, length of time household could maintain the same standard of living using savings",Italy,All,No savings ,17.1950048
"Without income, length of time household could maintain the same standard of living using savings",Latvia,All,No savings ,44.85981308
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,All,No savings ,31.94980695
"Without income, length of time household could maintain the same standard of living using savings",Luxembourg,All,No savings ,12.58992806
"Without income, length of time household could maintain the same standard of living using savings",Malta,All,No savings ,14.94845361
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,All,No savings ,21.15677321
"Without income, length of time household could maintain the same standard of living using savings",Poland,All,No savings ,27.91327913
"Without income, length of time household could maintain the same standard of living using savings",Portugal,All,No savings ,24.31034483
"Without income, length of time household could maintain the same standard of living using savings",Romania,All,No savings ,24.43762781
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,All,No savings ,24.07786885
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,All,No savings ,30.67846608
"Without income, length of time household could maintain the same standard of living using savings",Spain,All,No savings ,16.51053864
"Without income, length of time household could maintain the same standard of living using savings",Sweden,All,No savings ,27.88104089
"Without income, length of time household could maintain the same standard of living using savings",Austria,Men - 35 – 54 years old,No savings ,17.72151899
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Men - 35 – 54 years old,No savings ,32.30769231
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Men - 35 – 54 years old,No savings ,22.6519337
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Men - 35 – 54 years old,No savings ,44.44444444
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Men - 35 – 54 years old,No savings ,33.50253807
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Men - 35 – 54 years old,No savings ,24.8
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Men - 35 – 54 years old,No savings ,27.18446602
"Without income, length of time household could maintain the same standard of living using savings",European Union,Men - 35 – 54 years old,No savings ,28.05483337
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Men - 35 – 54 years old,No savings ,45.29411765
"Without income, length of time household could maintain the same standard of living using savings",Finland,Men - 35 – 54 years old,No savings ,41.96428571
"Without income, length of time household could maintain the same standard of living using savings",France,Men - 35 – 54 years old,No savings ,18.60465116
"Without income, length of time household could maintain the same standard of living using savings",Germany,Men - 35 – 54 years old,No savings ,14.85148515
"Without income, length of time household could maintain the same standard of living using savings",Greece,Men - 35 – 54 years old,No savings ,31.37931034
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Men - 35 – 54 years old,No savings ,26.70157068
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Men - 35 – 54 years old,No savings ,18.84816754
"Without income, length of time household could maintain the same standard of living using savings",Italy,Men - 35 – 54 years old,No savings ,14.02439024
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Men - 35 – 54 years old,No savings ,39.58333333
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Men - 35 – 54 years old,No savings ,32.55813953
"Without income, length of time household could maintain the same standard of living using savings",Malta,Men - 35 – 54 years old,No savings ,21.21212121
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Men - 35 – 54 years old,No savings ,20.93023256
"Without income, length of time household could maintain the same standard of living using savings",Poland,Men - 35 – 54 years old,No savings ,25.89285714
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Men - 35 – 54 years old,No savings ,27.74193548
"Without income, length of time household could maintain the same standard of living using savings",Romania,Men - 35 – 54 years old,No savings ,20.40816327
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Men - 35 – 54 years old,No savings ,23.77622378
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Men - 35 – 54 years old,No savings ,29.29936306
"Without income, length of time household could maintain the same standard of living using savings",Spain,Men - 35 – 54 years old,No savings ,14.81481481
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Men - 35 – 54 years old,No savings ,34.64052288
"Without income, length of time household could maintain the same standard of living using savings",Austria,Age - Under 35,No savings ,5.797101449
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Age - Under 35,No savings ,13.82978723
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Age - Under 35,No savings ,22.45989305
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Age - Under 35,No savings ,35.4368932
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Age - Under 35,No savings ,36.84210526
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Age - Under 35,No savings ,17.44186047
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Age - Under 35,No savings ,31.70731707
"Without income, length of time household could maintain the same standard of living using savings",European Union,Age - Under 35,No savings ,25.22136532
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Age - Under 35,No savings ,40.41666667
"Without income, length of time household could maintain the same standard of living using savings",Finland,Age - Under 35,No savings ,51.13636364
"Without income, length of time household could maintain the same standard of living using savings",France,Age - Under 35,No savings ,11.53846154
"Without income, length of time household could maintain the same standard of living using savings",Germany,Age - Under 35,No savings ,13.33333333
"Without income, length of time household could maintain the same standard of living using savings",Greece,Age - Under 35,No savings ,32.16374269
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Age - Under 35,No savings ,24.11347518
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Age - Under 35,No savings ,16.92307692
"Without income, length of time household could maintain the same standard of living using savings",Italy,Age - Under 35,No savings ,12
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Age - Under 35,No savings ,40.50632911
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Age - Under 35,No savings ,27.43902439
"Without income, length of time household could maintain the same standard of living using savings",Netherlands,Age - Under 35,No savings ,10.14492754
"Without income, length of time household could maintain the same standard of living using savings",Poland,Age - Under 35,No savings ,20.78651685
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Age - Under 35,No savings ,22.5
"Without income, length of time household could maintain the same standard of living using savings",Romania,Age - Under 35,No savings ,26.47058824
"Without income, length of time household could maintain the same standard of living using savings",Slovakia,Age - Under 35,No savings ,25.74257426
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Age - Under 35,No savings ,26.31578947
"Without income, length of time household could maintain the same standard of living using savings",Spain,Age - Under 35,No savings ,12.32876712
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Age - Under 35,No savings ,23.35766423
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Women - Under 35,No savings ,9.677419355
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Women - Under 35,No savings ,29.54545455
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Women - Under 35,No savings ,36.42857143
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Women - Under 35,No savings ,21.78217822
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Women - Under 35,No savings ,38
"Without income, length of time household could maintain the same standard of living using savings",European Union,Women - Under 35,No savings ,27.49042146
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Women - Under 35,No savings ,41.08108108
"Without income, length of time household could maintain the same standard of living using savings",Finland,Women - Under 35,No savings ,55.2
"Without income, length of time household could maintain the same standard of living using savings",France,Women - Under 35,No savings ,11.32075472
"Without income, length of time household could maintain the same standard of living using savings",Germany,Women - Under 35,No savings ,14.64646465
"Without income, length of time household could maintain the same standard of living using savings",Greece,Women - Under 35,No savings ,36.25
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Women - Under 35,No savings ,30.76923077
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Women - Under 35,No savings ,13.04347826
"Without income, length of time household could maintain the same standard of living using savings",Italy,Women - Under 35,No savings ,8.620689655
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Women - Under 35,No savings ,41.96428571
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Women - Under 35,No savings ,27.18446602
"Without income, length of time household could maintain the same standard of living using savings",Poland,Women - Under 35,No savings ,24.70588235
"Without income, length of time household could maintain the same standard of living using savings",Portugal,Women - Under 35,No savings ,22
"Without income, length of time household could maintain the same standard of living using savings",Romania,Women - Under 35,No savings ,28.30188679
"Without income, length of time household could maintain the same standard of living using savings",Slovenia,Women - Under 35,No savings ,30.88235294
"Without income, length of time household could maintain the same standard of living using savings",Sweden,Women - Under 35,No savings ,26.80412371
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Men - Under 35 years old,No savings ,16.16161616
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Men - Under 35 years old,No savings ,33.33333333
"Without income, length of time household could maintain the same standard of living using savings",Cyprus,Men - Under 35 years old,No savings ,34.42622951
